Станция,Широта,Долгота,Код
опарино,59.8439474,48.3006321,272301
чемодановка,54.0869672,39.9852483,223502
сибай,52.7195857,58.6496369,818302
новороссийск,44.7353935,37.7748777,520901
углеуральская,58.9522476,57.5379864,768207
усьва,58.687685,57.5946859,767702
балаково,52.0027616,47.7887893,625107
белореченская,44.7527301,39.8940867,534603
лужки-орловские,52.9321451,36.0961423,205608
саханская,52.9265397,35.9313775,216301
подписная,54.0799563,34.260638,186303
аселье,53.9432968,33.241622,178006
грабово,53.3788238,45.0703582,630603
грабово,53.3788069,45.0703645,630603
грабово,53.3788026,45.0702973,630603
грабово,53.3788074,45.0703719,630603
пластуновская,45.2882902,39.3048953,524705
агроном,45.1360924,39.1825276,524508
безымянка,53.2128366,50.2484379,657803
безымянка,53.2063225,50.252804,657803
инчхе,42.4697982,47.9415922,544003
кумертау,52.7744107,55.7769683,653408
ермилово,60.3693078,28.7746492,20201
салават,53.3604377,55.9152166,653003
мелеуз,52.9686018,55.9185086,653200
пери,60.2471697,30.464212,37700
грузино,60.3175333,30.4308739,37607
приветненское,60.1722689,29.4300343,39706
терешкино,57.0820083,35.2013901,64229
лихославль,57.1269379,35.4649366,62100
ханская,44.6888363,39.9843913,534707
майкоп,44.6228221,40.1082231,534800
кослан,63.4445498,48.6670075,283503
верхнекамская,59.5951642,52.4455948,275507
волковская,59.8965111,30.3604481,33409
волковская,59.8954651,30.3612033,33409
каналстрой,56.3832028,37.5158034,238508
бударино,50.6852186,42.5715194,613203
кааламо,61.8960299,30.5034298,23905
яхрома,56.2868456,37.5014589,238300
ладушкин,54.5707678,20.1770136,102609
березайка,57.9854794,33.9075141,53008
медведево,57.8829247,34.11218,52700
кафтино,57.9357252,34.3059374,52607
мисяш,54.9964329,60.4448641,805105
коптелово,57.682309,61.7474517,786402
ерзовка,58.4433699,61.7476783,787000
карпунино,58.7182652,61.7997258,787208
сотрино,59.3988215,61.2068413,776108
буранная,53.3970362,59.3024894,817403
рыбинск-пассажирский,58.0416689,38.833867,312104
рыбинск-товарный,58.0410793,38.877502,312301
гузятино,57.910378,33.8824802,54800
ессентуки,44.0482243,42.8543592,532307
каннельярви,60.3571695,29.3895243,39602
кирилловское,60.4673922,29.2849402,20803
златоуст,55.1981178,59.7178086,806201
курбакинская,52.4333175,35.5579535,205400
новый порт,59.9093033,30.2374901,35809
баландино,55.2977179,61.5491197,801903
трубецкая,46.5148009,41.3425411,517701
поточино,55.8503714,39.0225318,237609
акри,54.8735137,38.118846,192003
бердск,54.7632714,83.1139652,853109
мордвес,54.5748491,38.2228404,226801
вальково,48.3046979,41.5882409,588209
старомарьевская,45.1041643,42.2175969,527101
спицевка,45.2092831,42.4167266,527205
кугуты,45.2228852,42.6642561,527309
дивное,45.89757,43.3393734,528509
зимовье,49.6129438,131.5847022,917902
тырма,50.0348129,132.1381708,917705
керженец,56.9163437,44.6210455,265900
эльга,50.8370071,132.3084364,917404
эльга,56.2000275,130.6411038,917404
булычево,53.8815599,44.9969555,631004
колюткино,56.6419362,61.1839624,794606
новокуйбышевская,53.1151912,49.8974723,639400
издешково,55.1412841,33.6212289,173407
соревнование,56.5291622,37.4283466,238902
гниловская,47.19038,39.6357248,510609
сибирская,55.042318,82.9187054,850401
сибирская,54.9623781,83.058193,850401
рыльск,51.5684195,34.7130389,207603
гатчина-товарная-балтийская,59.544158,30.1082356,34007
войсковицы,59.5273472,29.9712998,74305
елизаветино,59.492122,29.7809187,74201
кикерино,59.4658894,29.6277365,74108
волосово,59.4417246,29.4801769,74004
молосковицы,59.3975677,29.0604183,73707
веймарн,59.3915456,28.8413833,73603
телищево,57.5278219,39.9607692,315206
толстопальцево,55.6076093,37.1858211,180805
кингисепп,59.368062,28.6024605,73507
пелла,59.7688534,30.8319318,30608
манушкино,59.8540981,30.7332713,30504
малукса,59.6302456,31.4041996,45800
будогощь,59.284223,32.4426573,45001
мураши,59.3968627,48.9636585,271900
безбожник,59.5111691,48.8140128,272000
вазюк,59.6830338,48.5050011,272208
култук,51.729214,103.7222893,933407
поспелиха,51.9921847,81.8245943,843906
